Abbr,Department,Agency/body,Agency abbr,Name of service,Slug,2012-Q4 Vol.,2012-Q4 CPT (£),2012-Q4 Digital vol.,2012-Q4 Digital CPT (£),2012-Q4 Completion rate,2012-Q4 User satisfaction,2013-Q1 Vol.,2013-Q1 CPT (£),2013-Q1 Digital vol.,2013-Q1 Digital CPT (£),2013-Q1 Completion rate,2013-Q1 User satisfaction,2013-Q2 Vol.,2013-Q2 CPT (£),2013-Q2 Digital vol.,2013-Q2 Digital CPT (£),2013-Q2 Completion rate,2013-Q2 User satisfaction,2013-Q3 Vol.,2013-Q3 CPT (£),2013-Q3 Digital vol.,2013-Q3 Digital CPT (£),2013-Q3 Completion rate,2013-Q3 User satisfaction,2013-Q4 Vol.,2013-Q4 CPT (£),2013-Q4 Digital vol.,2013-Q4 Digital CPT (£),2013-Q4 Completion rate,2013-Q4 User satisfaction,2014-Q1 Vol.,2014-Q1 CPT (£),2014-Q1 Digital vol.,2014-Q1 Digital CPT (£),2014-Q1 Completion rate,2014-Q1 User satisfaction,2014-Q2 Vol.,2014-Q2 CPT (£),2014-Q2 Digital vol.,2014-Q2 Digital CPT (£),2014-Q2 Completion rate,2014-Q2 User satisfaction,2014-Q3 Vol.,2014-Q3 CPT (£),2014-Q3 Digital vol.,2014-Q3 Digital CPT (£),2014-Q3 Completion rate,2014-Q3 User satisfaction,2014-Q4 Vol.,2014-Q4 CPT (£),2014-Q4 Digital vol.,2014-Q4 Digital CPT (£),2014-Q4 Completion rate,2014-Q4 User satisfaction,2015-Q1 Vol.,2015-Q1 CPT (£),2015-Q1 Digital vol.,2015-Q1 Digital CPT (£),2015-Q2 Vol.,2015-Q2 CPT (£),2015-Q2 Digital vol.,2015-Q2 Digital CPT (£),2015-Q3 Vol.,2015-Q3 CPT (£),2015-Q3 Digital vol.,2015-Q3 Digital CPT (£),2015-Q4 Vol.,2015-Q4 CPT (£),2015-Q4 Digital vol.,2015-Q4 Digital CPT (£),2016-Q1 Vol.,2016-Q1 CPT (£),2016-Q1 Digital vol.,2016-Q1 Digital CPT (£),Category,URL,Service link text,Description of service,Notes on costs,Other notes,Customer type,Business model,"Previous dept 
 (MOG, Jun 2016)","Dept providing data 
(MOG , Jun 2016)",previous agency,Keywords,Notes [for GDS only],,Latest volumes,Latest digital take-up,Latest digital totals,Quarterly volumes,Quarterly digital totals,Digital only,Cumulative,FOI URL,FOI data,FOI text,GOV.UK start page,"Total transactions
Jul - Sep 2012","Total transactions
Oct - Dec 2012","Total transactions
Jan - Mar 2013","Total transactions
Apr - Jun 2013","Total transactions
Jul - Sep 2013","Total transactions
Oct - Dec 2013","Total transactions
Jan - Mar 2014","Total transactions
Apr - Jun 2014","Total transactions
Jul - Sep 2014","Total transactions
Oct - Dec 2014","Total transactions
Jan - Mar 2015","Total transactions
Apr - Jun 2015","Total transactions
Jul - Sep 2015","Total transactions
Oct - Dec 2015",Totals check [pasted values],"Total Jul 14 - Jun 2015 
[12 MONTHS]",Totals check,"Digital transactions
Jul - Sep 2012","Digital transactions
Oct - Dec 2012","Digital transactions
Jan - Mar 2013","Digital transactions
Apr - Jun 2013","Digital transactions
Jul - Sep 2013","Digital transactions
Oct - Dec 2013","Digital transactions
Jan - Mar 2014","Digital transactions
Apr - Jun 2014","Digital transactions
Jul - Sep 2014","Digital transactions
Oct - Dec 2014","Digital transactions
Jan - Mar 2015","Digital transactions
Apr - Jun 2015","Digital transactions
Jul - Sep 2015","Digital transactions
Oct - Dec 2015",Digital totals check [pasted values],"Digital transactions per year
(Jul 2014 - Jun 2015) 
[12 MONTHS]",Totals check,Digital exceeds all (quarters),Digital exceeds all (years),,,dig,all
AGO,Attorney General's Office,Treasury Solicitor's Department,TSOL,Trusts and estates: referrals of estates and company assets (bona vacantia),ago-bona-vacantia-referrals-of-estates-company-assets,"40,000",,,,,,,,,,,,,,,,,,"16,383",,863,,,,"18,097",,781,,,,"19,809",,,,,,"20,667",,,,,,"22,288",,,,,,"20,548",,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/unclaimed-estates-bona-vacantia,,Data for referrals to the bona vacantia division of the Treasury Solicitor's Office.,,,Business,Taxpayers,AGO,AGO,,,,,"20,548",,781,"4,133",175,,0.00%,,,,,"4,159","4,017","3,964","4,243","5,873","5,729","4,822","5,864","4,133",,,,,,,-,-,257,218,185,203,175,,,,,,,,,,,-,-,ok,ok,,,,
AGO,Attorney General's Office,Crown Prosecution Service,CPS,Witness expenses: reimbursements,ago-reimbursing-witness-expenses,"55,432",,,,,,,,,,,,,,,,,,"48,362",,,,,,"47,561",,,,,,"47,041",,,,,,"47,186",,,,,,"46,434",,,,,,"46,750",,,,,,"46,942",,,,"47,147",,,,"47,624",,,,"47,099",,,,,,,,"Requesting benefits, payments or loans",http://www.cps.gov.uk/legal/v_to_z/witnesses_expenses_and_allowances/,Witness expenses and allowances,"Data for reimbursements made to witnesses in court appearances, to cover expenses and allowances.",,,Individuals,Taxpayers,AGO,AGO,,,,,"47,099",,,"11,777",,,0.00%,,,,,"12,262","12,360","11,670","12,070","11,461","11,840","11,815","11,318","11,777","12,032","12,020","11,795","11,252",,,-,-,,,,,,,,,,,,,,,,-,-,ok,ok,,,,
BEIS,"Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service",Acas,Registrations to use online training and resources on workplace relations,bis-acas-elearning-registrations,,,,,,,,,,,,,"4,027",,,,,,"5,331",,"5,331",,,,"8,624",,"8,624",,,,"15,682",,"15,682",,,,"27,124",,"27,124",,,,"28,115",,"28,115",,,,"26,194",,"26,194",,,,"22,398",,"22,398",,"14,655",,"14,655",,"18,509",,"18,509",,"21,415",,"21,415",,"22,187",,"22,187",,Registering,https://elearning.acas.org.uk/,,Data for registrations to use Acas's elearning modules on employment relations.,,,Business,Taxpayers,BIS,BIS,,,Acas' elearning system was replaced in April 2013 so stats from April - July 2013 reflect this. We have an overall figure of total registrations for the old system of 4027 for 2012/13 financial year. The previous e-learning package has now been de-commissioned so we now cannot obtain accurate historical data on it. To show some figures across the last period I have split the total number of registrations by the three quarters applicable which works out to 1342.,,"21,415",,"21,415","2,714","2,714",,0.00%,,,,,"1,342","1,342","1,342","1,305","4,635","8,400","12,784","2,296","2,714","4,604","5,041","6,150","5,620","5,376","22,187","22,187",y,"1,342","1,342","1,342","1,305","4,635","8,400","12,784","2,296","2,714","4,604","5,041","6,150","5,620","5,376","22,187","22,187",y,ok,ok,,,,
BEIS,"Department for Business, Energy and Industrial Strategy",Companies House,,Companies House: accounts filed,bis-accounts-filing,"2,060,509",,"852,031",,,,"2,174,095",8.08,"1,033,709",2.36,,,"2,176,312",8.02,"1,089,601",2.36,,,"2,221,300",8.78,"1,156,922",2.36,,,"2,271,593",7.70,"1,238,057",2.36,,,"2,330,947",7.67,"1,330,535",2.24,,,"2,362,112",7.51,"1,397,379",2.27,,,"2,379,039",7.32,"1,453,358",2.34,,,"2,417,556",7.38,"1,512,302",2.20,,,"2,450,497",7.34,"1,586,985",2.13,"2,488,437",6.85,"1,642,434",,"2,556,126",7.11,"1,702,669",2.03,"2,569,197",7.04,"1,767,132",,"2,658,055",,"1,853,761",,Providing information,https://www.gov.uk/file-your-company-accounts-and-tax-return,File your company accounts,Data for accounts submitted by businesses to Companies House.,"Filing an annual return incurs a fee which covers registration costs, accounts filing and all other document filing for limited liability companies, where these services do not have separate fees. <br>The published cost per transaction is a cost per transaction for these product groups, and the overall cost is heavily influenced by the level of electronic take up per transaction type.",,Business,Fees and charges,BIS,BIS,,,,12,"2,569,197",,"1,767,132","643,195","404,184",,0.10%,,,#REF!,http://www.gov.uk/file-your-company-accounts-and-tax-return,"554,385","654,583","506,334","505,998","604,678","713,937","537,499","522,925","643,195","746,878","575,439","590,614","656,266","835,736","2,658,055","2,658,055",y,"264,105","339,356","269,418","284,043","345,240","431,834","336,262","340,022","404,184","506,517","391,711","400,257","468,647","593,146","1,853,761","1,853,761",y,ok,ok,,,,
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Requests to add extra classes to an existing trade mark application,bis-add-extra-classes-tm3a,152,,,,,,152,,,,,,"1,461",,,,,,"1,406",,,,,,"1,289",,0,,,,"1,239",,0,,,,"1,206",,0,,,,"1,206",,0,,,,980,,0,,,,737,,0,,499,,0,,527,,0,,512,,0,,494,,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for requests to add extra classes to an existing application (TM3A).,,,Business,Fees and charges,BIS,BIS,,,,,512,,0,73,0,,0.10%,,,,,416,359,335,296,299,309,302,296,73,66,64,324,58,48,494,494,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok,,,,
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Trade marks: alter a registered mark,bis-alter-a-registered-mark-tm25,59,,,,,,59,,,,,,31,,,,,,26,,,,,,17,,0,,,,10,,0,,,,5,,0,,,,2,,0,,,,2,,0,,,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for alterations to a registered mark (TM25).,,,Business,Fees and charges,BIS,BIS,,,,,0,,0,0,0,,0.10%,,,,,9,7,7,3,0,0,2,0,0,0,0,0,0,0,0,0,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok,,,,
BEIS,"Department for Business, Energy and Industrial Strategy",Companies House,,Companies House: annual returns filed,bis-annual-returns,"2,262,898",,"2,184,914",,,,"2,358,738",2.63,"2,301,214",2.36,,,"2,386,535",2.60,"2,335,621",2.36,,,"2,435,641",2.60,"2,388,263",2.36,,,"2,481,770",2.57,"2,437,220",2.36,,,"2,524,684",2.45,"2,482,552",2.24,,,"2,573,005",2.46,"2,533,477",2.27,,,"2,612,655",2.52,"2,575,621",2.34,,,"2,655,422",2.38,"2,620,455",2.20,,,"2,705,401",2.32,"2,672,101",2.13,"2,763,769",2.29,"2,730,958",,"2,823,103",2.21,"2,790,560",2.03,"2,869,112",2.21,"2,838,095",,"2,925,992",,"2,895,619",,Providing information,https://www.gov.uk/file-an-annual-return-with-companies-house,File an annual return with Companies House,Data for annual returns filed by businesses to Companies House.,"Filing an annual return incurs a fee which covers registration costs, accounts filing and all other document filing for limited liability companies, where these services do not have separate fees. <br>The published cost per transaction is a cost per transaction for these product groups, and the overall cost is heavily influenced by the level of electronic take up per transaction type.",,Business,Fees and charges,BIS,BIS,,,,12,"2,869,112",,"2,838,095","658,560","650,073",,0.21%,,,#REF!,http://www.gov.uk/file-an-annual-return-with-companies-house,"569,664","577,409","632,671","655,897","615,793","620,323","680,992","695,547","658,560","670,302","739,360","754,881","704,569","727,182","2,925,992","2,925,992",y,"556,282","565,405","621,843","644,733","605,239","610,737","672,768","686,877","650,073","662,383","731,625","746,479","697,608","719,907","2,895,619","2,895,619",y,ok,ok,,,,
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Applications for licences under the patent to be available as of right,bis-application-by-the-proprietor-of-a-patent-for-an-entry-to-be-made-in-the-register-that-licences-under-the-patent-are-available-as-of-right-f28,"1,061",,,,,,"1,061",,,,,,"2,097",,,,,,"2,259",,,,,,"2,342",,0,,,,"1,962",,0,,,,"1,728",,0,,,,"1,231",,0,,,,969,,0,,,,"1,027",,0,,991,,0,,"1,031",,0,,904,,0,,746,,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees,,Data for applications by the proprietor of a patent for an entry to be made in the register that licences under the patent are available as of right (F28).,,,Business,Fees and charges,BIS,BIS,,,Patent,,904,,0,249,0,,0.21%,,,,,428,573,531,727,511,193,297,230,249,251,261,270,122,93,746,746,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok,,,,
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Patents: applications by the proprietor to cancel an entry in the register that licences are available as of right,bis-application-by-the-proprietor-of-a-patent-to-cancel-an-entry-in-the-register-that-licences-under-the-patent-are-available-as-of-right-f30,36,,,,,,36,,,,,,,,,,,,0,,,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Amending/deleting information,https://www.gov.uk/government/publications/patent-forms-and-fees,,Data for applications by the proprietor of a patent to cancel an entry in the register that licences under the patent are available as of right (F30).,,,Business,Fees and charges,BIS,BIS,,,Patent,,0,,0,0,0,,0.21%,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok,,,,
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Application fee for a patent ,bis-application-fee-for-a-patent-application-af1,"1,690",,,,,,"1,690",,,,,,"1,688",,,,,,"1,729",,,,,,"1,647",,0,,,,"1,522",,0,,,,"1,480",,0,,,,"1,387",,0,,,,"1,353",,0,,,,"1,344",,0,,"1,328",,0,,"1,287",,0,,"1,232",,0,,"1,177",,0,,Making a payment,https://www.gov.uk/government/publications/patent-forms-and-fees,,Data for application fee for a patent application (AF1).,,,Business,Fees and charges,BIS,BIS,,,Patent,,"1,232",,0,328,0,,0.21%,,,,,444,465,399,421,362,340,357,328,328,331,341,287,273,276,"1,177","1,177",y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok,,,,
